mpb_band,lambda_um-2,nu_a2.288
3,0.149267316,0.140688
4,0.149456620,0.140778
5,0.150563255,0.141298
6,0.150816157,0.141417
7,0.151047766,0.141525
8,0.151585534,0.141777
9,0.151691452,0.141826
10,0.152626723,0.142263
11,0.152831063,0.142358
12,0.153484374,0.142662
13,0.154010639,0.142906
14,0.154850140,0.143295
15,0.289278835,0.195855
16,0.290795416,0.196368
17,0.291830629,0.196717
18,0.293110549,0.197148
19,0.294188231,0.197510
20,0.294514447,0.197619
21,0.294560283,0.197635
22,0.295050800,0.197799
23,0.295749754,0.198033
24,0.296279311,0.198211
25,0.297023267,0.198459
26,0.297518611,0.198625
27,0.297687292,0.198681
28,0.298712969,0.199023
29,0.299680203,0.199345
30,0.300501168,0.199618
31,0.300856680,0.199736
32,0.301083446,0.199811
33,0.301682115,0.200010
34,0.302317560,0.200220
35,0.303377748,0.200571
36,0.305167645,0.201162
37,0.306093216,0.201467
38,0.306686312,0.201662
39,0.427287012,0.238032
40,0.428516746,0.238375
41,0.430109710,0.238817
42,0.431782603,0.239281
43,0.433612198,0.239788
44,0.435671568,0.240356
45,0.436431319,0.240566
46,0.437961608,0.240987
47,0.438506007,0.241137
48,0.439932346,0.241529
49,0.440914392,0.241798
50,0.441987455,0.242092
51,0.442871213,0.242334
52,0.445156515,0.242959
53,0.447738767,0.243662
54,0.450519085,0.244418
55,0.558150291,0.272052
56,0.559447348,0.272368
57,0.563431740,0.273336
58,0.565136671,0.273749
59,0.569013119,0.274686
60,0.569436550,0.274789
61,0.571871400,0.275376
62,0.573446751,0.275755
63,0.575082958,0.276148
64,0.576410353,0.276466
65,0.578805149,0.277040
66,0.582561731,0.277937
67,0.659919858,0.295816
68,0.664748371,0.296896
69,0.667183578,0.297440
70,0.669314325,0.297914
71,0.670139670,0.298098
72,0.672381580,0.298596
73,0.672777534,0.298684
74,0.674857020,0.299145
75,0.676084697,0.299417
76,0.676646829,0.299542
77,0.678682685,0.299992
78,0.679965138,0.300275
79,0.681308508,0.300572
80,0.681595683,0.300635
81,0.682954073,0.300934
82,0.684818387,0.301345
83,0.686642170,0.301746
84,0.687663794,0.301970
85,0.688544035,0.302164
86,0.689594626,0.302394
87,0.691775978,0.302872
88,0.694051743,0.303370
89,0.695010662,0.303579
90,0.696068048,0.303810
91,0.696863353,0.303983
92,0.698040307,0.304240
93,0.699212968,0.304496
94,0.700033784,0.304674
95,0.700429678,0.304760
96,0.702073634,0.305118
97,0.703630328,0.305456
98,0.703945994,0.305524
99,0.707035780,0.306194
100,0.708436608,0.306497
101,0.710155725,0.306869
102,0.712043345,0.307277
103,0.713003993,0.307484
104,0.713920355,0.307681
105,0.715059221,0.307927
106,0.716199040,0.308172
107,0.718504250,0.308667
108,0.719300151,0.308838
109,0.720331728,0.309060
110,0.722659945,0.309559
