mpb_band,lambda_um-2,nu_a2.288
3,0.147521913,0.139864
4,0.148213431,0.140191
5,0.149215430,0.140664
6,0.149578050,0.140835
7,0.149971575,0.141020
8,0.150174424,0.141115
9,0.150652796,0.141340
10,0.151086643,0.141543
11,0.151401430,0.141691
12,0.152667820,0.142282
13,0.153226510,0.142542
14,0.153539687,0.142688
15,0.286882579,0.195042
16,0.288167298,0.195478
17,0.290015161,0.196104
18,0.290313333,0.196205
19,0.291854471,0.196725
20,0.292311698,0.196879
21,0.292679071,0.197003
22,0.293694168,0.197344
23,0.293829322,0.197389
24,0.294441253,0.197595
25,0.294623286,0.197656
26,0.295157135,0.197835
27,0.295522660,0.197957
28,0.296416342,0.198256
29,0.298051298,0.198802
30,0.298432648,0.198930
31,0.298684895,0.199014
32,0.298942685,0.199099
33,0.299623609,0.199326
34,0.300551832,0.199635
35,0.301009774,0.199787
36,0.303289533,0.200542
37,0.304628015,0.200984
38,0.305333823,0.201217
39,0.424080819,0.237138
40,0.425408602,0.237509
41,0.427578598,0.238114
42,0.428214371,0.238291
43,0.431057572,0.239080
44,0.432424426,0.239459
45,0.434499264,0.240033
46,0.435256362,0.240242
47,0.436500430,0.240585
48,0.437406719,0.240835
49,0.439472675,0.241403
50,0.439679384,0.241459
51,0.442161709,0.242140
52,0.443295628,0.242450
53,0.445807874,0.243136
54,0.448780954,0.243946
55,0.554535151,0.271169
56,0.555943310,0.271513
57,0.560470462,0.272617
58,0.562910378,0.273209
59,0.567189336,0.274246
60,0.568276763,0.274509
61,0.569221973,0.274737
62,0.571705461,0.275336
63,0.573422670,0.275749
64,0.574481547,0.276003
65,0.577423394,0.276709
66,0.581346512,0.277647
67,0.655954063,0.294926
68,0.663514674,0.296621
69,0.665997863,0.297175
70,0.667522669,0.297515
71,0.668699980,0.297777
72,0.670125604,0.298095
73,0.672174096,0.298550
74,0.674409986,0.299046
75,0.675821900,0.299359
76,0.675985515,0.299395
77,0.676769078,0.299569
78,0.677503943,0.299731
79,0.678812027,0.300020
80,0.679808140,0.300241
81,0.681795835,0.300679
82,0.682858109,0.300913
83,0.684533119,0.301282
84,0.687109053,0.301848
85,0.687616348,0.301960
86,0.688913524,0.302245
87,0.690303802,0.302549
88,0.692188978,0.302962
89,0.693002045,0.303140
90,0.695410371,0.303666
91,0.695776880,0.303746
92,0.696900606,0.303992
93,0.697559953,0.304135
94,0.698004186,0.304232
95,0.700314939,0.304735
96,0.701689005,0.305034
97,0.702746868,0.305264
98,0.703611434,0.305452
99,0.705906749,0.305950
100,0.707581639,0.306312
101,0.708097160,0.306424
102,0.709051251,0.306630
103,0.710525990,0.306949
104,0.712365091,0.307346
105,0.713255405,0.307538
106,0.714174688,0.307736
107,0.716147602,0.308161
108,0.717189670,0.308385
109,0.720107019,0.309012
110,0.723059475,0.309644
111,0.724434853,0.309939
112,0.727737904,0.310644
113,0.728305459,0.310766
114,0.740329146,0.313320
115,0.776263058,0.320834
116,0.778017282,0.321196
117,0.783694386,0.322366
118,0.784653723,0.322563
119,0.786557317,0.322954
120,0.791431665,0.323954
121,0.792284787,0.324128
122,0.793956876,0.324470
123,0.796046793,0.324897
124,0.799124599,0.325524
125,0.800418854,0.325788
126,0.801663697,0.326041
127,0.802784801,0.326269
128,0.804457426,0.326609
129,0.805212259,0.326762
130,0.806738853,0.327071
131,0.807158291,0.327156
132,0.808965504,0.327523
133,0.812702537,0.328278
134,0.815349460,0.328812
135,0.815416336,0.328826
136,0.816363931,0.329017
137,0.818414748,0.329430
138,0.820995212,0.329949
139,0.821739912,0.330098
140,0.822428882,0.330237
141,0.826060414,0.330965
142,0.826657891,0.331085
143,0.829631329,0.331680
144,0.831983209,0.332149
145,0.833151579,0.332383
146,0.835046530,0.332760
147,0.836295009,0.333009
148,0.836505532,0.333051
149,0.839231133,0.333593
150,0.840945661,0.333934
151,0.842741132,0.334290
152,0.844422340,0.334623
153,0.845421314,0.334821
154,0.847688258,0.335270
155,0.849931479,0.335713
156,0.852489412,0.336218
157,0.854173899,0.336550
158,0.856623650,0.337032
159,0.862106085,0.338109
160,0.867912769,0.339246
161,0.868614435,0.339383
162,0.874477386,0.340526
163,0.983815312,0.361188
164,0.988544524,0.362055
165,0.994760096,0.363191
166,1.001992226,0.364509
167,1.002915502,0.364677
168,1.004549026,0.364974
169,1.007628918,0.365533
170,1.009168983,0.365812
171,1.010451913,0.366045
172,1.016733408,0.367181
173,1.020079732,0.367784
174,1.024453044,0.368572
175,1.025862455,0.368825
176,1.029629469,0.369502
177,1.031914115,0.369912
178,1.034475803,0.370370
179,1.035872579,0.370620
180,1.039476871,0.371265
181,1.040972590,0.371532
182,1.044629216,0.372184
183,1.050114632,0.373160
184,1.051340818,0.373377
185,1.055838823,0.374175
186,1.057334542,0.374440
187,1.060823798,0.375057
188,1.064869404,0.375772
189,1.066090226,0.375987
190,1.070775032,0.376812
191,1.073313117,0.377259
192,1.075317860,0.377611
193,1.077530622,0.377999
194,1.081010103,0.378609
195,1.085704446,0.379430
196,1.086059690,0.379492
197,1.086855173,0.379631
198,1.089696884,0.380127
