i,tile_label,lambda_um-2,lambda_raw,norm_sq,nu_a2.288,residual_reported,pr_fraction,pr_volume_um3,xi_um,r2,dyn_range_dec,resolved,shell2_energy_frac,slice,in_gap_bracket,class,periodic_partner_lam,periodic_overlap
0,4942,1.757046950,1.757133722,1.000049385,0.482689,6.1405e-05,1.293942e-02,193.7282,6.1984,0.9036,1.892,True,0.05767,Sbelow,False,,,
1,4943,1.757386279,1.757472038,1.000048799,0.482736,6.1988e-05,8.991624e-03,134.6220,5.2978,0.9456,2.058,True,0.06400,Sbelow,False,,,
2,4944,1.758353331,1.758440018,1.000049300,0.482869,6.1079e-05,7.170345e-03,107.3540,7.9479,0.7281,1.855,True,0.08776,Sbelow,False,,,
3,4945,1.759169593,1.759256244,1.000049256,0.482981,6.0667e-05,1.286235e-02,192.5743,7.8744,0.6236,1.827,False,0.05830,Sbelow,False,,,
4,4946,1.760055043,1.760141850,1.000049320,0.483102,6.1098e-05,1.358209e-02,203.3502,7.6900,0.8372,1.701,True,0.07138,Sbelow,False,,,
5,4947,1.760544644,1.760631561,1.000049370,0.483170,5.9778e-05,1.073433e-02,160.7137,7.4879,0.8284,1.848,True,0.03027,Sbelow,False,,,
6,4948,1.761376472,1.761463165,1.000049219,0.483284,6.0733e-05,6.080835e-03,91.0419,6.3969,0.7818,1.985,True,0.04841,Sbelow,False,,,
7,4949,1.761572578,1.761659384,1.000049278,0.483311,5.9625e-05,6.671394e-03,99.8837,4.7529,0.8883,2.027,True,0.07549,Sbelow,False,,,
8,4950,1.762456151,1.762543201,1.000049392,0.483432,5.9781e-05,5.673104e-03,84.9374,6.4756,0.8495,2.076,True,0.03628,Sbelow,False,,,
9,4951,1.763687600,1.763774753,1.000049415,0.483601,6.0099e-05,2.383431e-03,35.6846,4.0237,0.9398,2.430,True,0.06046,Sbelow,False,,,
10,4952,1.765040330,1.765127540,1.000049409,0.483786,6.1948e-05,6.937192e-03,103.8632,8.0411,0.7670,1.749,True,0.05454,Sbelow,False,,,
