mpb_band,lambda_um-2,nu_a2.288,pr_fraction,pr_volume_um3,xi_um,r2,resolved,shell2_energy_frac
398,1.478471279,0.442774,1.262582e-01,189.0330,8.1091,0.5516,False,0.08863
399,1.479775310,0.442970,1.292174e-01,193.4635,8.4882,0.5281,False,0.10343
400,1.481446981,0.443220,1.216826e-01,182.1825,8.0999,0.6980,False,0.07610
401,1.484870911,0.443732,1.214377e-01,181.8157,11.6963,0.3359,False,0.10432
402,1.487021565,0.444053,1.178810e-01,176.4907,6.3617,0.6206,False,0.08309
403,1.488341808,0.444250,1.159925e-01,173.6632,7.2434,0.5587,False,0.10018
404,1.490687132,0.444600,1.277199e-01,191.2215,9.5788,0.4799,False,0.08422
405,1.491247892,0.444684,1.012637e-01,151.6113,5.0512,0.7230,True,0.09076
406,1.494269848,0.445134,1.120410e-01,167.7471,18.3534,0.1540,False,0.09948
407,1.496403217,0.445452,1.260466e-01,188.7162,8.6032,0.6234,False,0.07243
408,1.501372814,0.446191,1.080934e-01,161.8368,7.1491,0.7344,False,0.08335
409,1.503234267,0.446467,1.187533e-01,177.7967,11.1058,0.6256,False,0.08038
410,1.504794836,0.446699,1.180355e-01,176.7221,6.7308,0.5882,False,0.07597
411,1.506798506,0.446996,1.084067e-01,162.3059,8.2540,0.5293,False,0.07910
412,1.507841349,0.447151,1.105271e-01,165.4804,8.3936,0.4625,False,0.09715
413,1.509406328,0.447383,1.195723e-01,179.0229,10.5210,0.6978,False,0.08984
414,1.512737751,0.447876,1.166190e-01,174.6013,6.8074,0.7408,False,0.07232
415,1.513333082,0.447964,9.770851e-02,146.2886,4.5189,0.6900,False,0.09208
416,1.514601946,0.448152,1.163867e-01,174.2534,6.8489,0.6794,False,0.09364
417,1.518732786,0.448763,1.254880e-01,187.8798,9.1217,0.5221,False,0.09389
418,1.518996954,0.448802,1.124295e-01,168.3288,6.0390,0.4900,False,0.07319
419,1.520426154,0.449013,1.050849e-01,157.3325,6.0819,0.6857,False,0.09234
420,1.521225572,0.449131,1.126931e-01,168.7235,8.1465,0.5731,False,0.08645
421,1.524596214,0.449628,1.160546e-01,173.7562,6.6529,0.7391,False,0.09675
422,1.528261662,0.450168,1.158160e-01,173.3990,10.5096,0.6383,False,0.07673
423,1.529138803,0.450298,1.167323e-01,174.7709,15.0901,0.3050,False,0.10311
424,1.533818722,0.450986,1.200861e-01,179.7922,8.6526,0.6624,False,0.08412
425,1.535822034,0.451281,1.078455e-01,161.4656,8.0740,0.7539,False,0.09617
426,1.537346840,0.451504,1.193458e-01,178.6838,10.3758,0.4079,False,0.08445
427,1.538948894,0.451740,1.201793e-01,179.9317,7.6041,0.4786,False,0.09285
428,1.540648818,0.451989,9.584786e-02,143.5028,6.5305,0.5582,False,0.10510
429,1.541809082,0.452159,1.132249e-01,169.5197,8.9035,0.4572,False,0.09122
430,1.543082833,0.452346,1.059001e-01,158.5530,5.1576,0.7746,True,0.10702
431,1.546814203,0.452893,1.181002e-01,176.8189,6.4937,0.7200,False,0.09495
432,1.547680020,0.453019,8.660805e-02,129.6690,5.5708,0.6659,False,0.08152
433,1.548796058,0.453183,1.053051e-01,157.6622,5.5995,0.8766,False,0.10210
434,1.553553581,0.453878,1.194134e-01,178.7851,12.2740,0.5657,False,0.10185
435,1.554503918,0.454017,1.088793e-01,163.0135,6.5764,0.7637,False,0.08019
436,1.557192326,0.454409,1.001558e-01,149.9527,4.9139,0.8580,True,0.08130
437,1.559996128,0.454818,9.755948e-02,146.0655,4.8573,0.7780,True,0.09659
438,1.561005592,0.454965,1.205151e-01,180.4344,6.0986,0.6993,False,0.10272
439,1.566193938,0.455721,9.964569e-02,149.1889,5.4080,0.8179,True,0.09634
440,1.566411614,0.455753,9.032450e-02,135.2333,5.4421,0.9152,False,0.13205
441,1.568379879,0.456039,9.979004e-02,149.4051,5.3026,0.7817,True,0.08570
442,1.570151806,0.456296,1.106095e-01,165.6038,6.7636,0.6591,False,0.10779
443,1.573130131,0.456729,1.039766e-01,155.6732,5.9521,0.8248,False,0.09094
444,1.574738979,0.456962,1.161946e-01,173.9659,6.6707,0.6738,False,0.08358
445,1.576739073,0.457252,1.181333e-01,176.8685,8.6250,0.5533,False,0.09866
446,1.579779267,0.457693,8.915102e-02,133.4764,5.0795,0.8077,True,0.12960
447,1.581944108,0.458007,1.002901e-01,150.1537,5.9631,0.5308,False,0.09044
448,1.583396673,0.458217,9.845789e-02,147.4106,6.1718,0.6715,False,0.09929
449,1.584854603,0.458428,9.785687e-02,146.5107,6.1786,0.6391,False,0.08072
450,1.588488817,0.458953,6.171283e-02,92.3961,3.9206,0.7004,True,0.08936
451,1.593114376,0.459621,9.657214e-02,144.5872,6.2083,0.7316,False,0.08337
452,1.597077012,0.460192,9.562523e-02,143.1695,6.3143,0.6999,False,0.10975
453,1.598635077,0.460416,9.317389e-02,139.4994,4.2977,0.9186,True,0.08365
454,1.602479696,0.460970,1.014348e-01,151.8676,7.7736,0.4833,False,0.07882
455,1.604072571,0.461199,1.033412e-01,154.7218,9.6672,0.5582,False,0.09618
456,1.607069254,0.461629,7.957228e-02,119.1351,5.6397,0.4972,False,0.07966
457,1.610175848,0.462075,8.322484e-02,124.6037,4.5995,0.8149,True,0.12461
458,1.611263633,0.462231,1.041611e-01,155.9494,6.4945,0.6917,False,0.09877
459,1.614965916,0.462762,7.786676e-02,116.5816,4.4314,0.6831,False,0.11111
460,1.618697166,0.463296,8.342015e-02,124.8961,4.1869,0.7783,True,0.07831
461,1.622625589,0.463858,9.385470e-02,140.5187,6.3838,0.7270,False,0.09064
462,1.625420570,0.464258,9.608217e-02,143.8537,6.1232,0.7697,False,0.09116
463,1.625784159,0.464310,9.631947e-02,144.2089,6.5948,0.7754,False,0.12048
464,1.629396915,0.464825,8.672322e-02,129.8415,4.8594,0.6786,False,0.10172
465,1.631545186,0.465131,6.133557e-02,91.8312,3.9796,0.8920,True,0.08652
466,1.637769222,0.466018,8.660268e-02,129.6610,6.7401,0.4882,False,0.11521
467,1.640899181,0.466463,7.462554e-02,111.7289,4.8367,0.8745,True,0.10776
468,1.644332886,0.466951,6.649795e-02,99.5603,4.0715,0.7347,True,0.08010
469,1.645799398,0.467159,6.349165e-02,95.0593,3.5157,0.9420,True,0.11981
470,1.648765326,0.467580,7.530111e-02,112.7404,5.2015,0.8100,False,0.10101
471,1.649504900,0.467684,8.011501e-02,119.9477,5.0960,0.7050,True,0.10490
472,1.656377077,0.468658,8.364465e-02,125.2323,6.2358,0.6648,False,0.10305
473,1.658818960,0.469003,4.653955e-02,69.6787,3.8782,0.6522,False,0.10050
474,1.660283566,0.469210,6.418629e-02,96.0993,4.9011,0.7276,True,0.08417
475,1.664236307,0.469768,4.429493e-02,66.3181,3.1120,0.8533,True,0.07840
476,1.666306496,0.470060,5.809280e-02,86.9762,3.1694,0.9246,True,0.09907
477,1.670570612,0.470661,8.777027e-02,131.4091,4.5947,0.7160,True,0.12003
478,1.674233317,0.471177,4.787242e-02,71.6743,4.6612,0.8639,True,0.07586
479,1.677585840,0.471649,8.295403e-02,124.1983,6.0388,0.7403,False,0.09308
480,1.681155562,0.472150,4.285481e-02,64.1620,3.7790,0.7882,True,0.07897
481,1.687040091,0.472976,6.489083e-02,97.1542,4.2298,0.7932,True,0.08711
482,1.692645192,0.473761,7.717494e-02,115.5459,4.9498,0.7239,True,0.09144
483,1.702626467,0.475156,3.836632e-02,57.4418,3.3526,0.6622,False,0.07633
484,1.704556704,0.475425,5.611672e-02,84.0176,3.7898,0.8669,True,0.08389
485,1.708316684,0.475949,2.257277e-02,33.7958,2.5157,0.8447,True,0.05236
486,1.712926865,0.476591,4.492781e-02,67.2656,4.2345,0.7158,True,0.08246
487,1.719782472,0.477543,2.595463e-02,38.8591,3.2362,0.6559,False,0.09138
488,1.729067206,0.478831,2.105538e-02,31.5240,2.7197,0.8156,True,0.08935
489,1.730989933,0.479097,1.504284e-02,22.5221,2.2732,0.8183,True,0.15579
490,1.735305071,0.479694,2.922885e-02,43.7613,3.2813,0.9067,True,0.09911
491,1.739173651,0.480228,1.792461e-02,26.8366,2.5241,0.8246,True,0.06951
492,1.743373156,0.480808,1.919270e-02,28.7352,2.7750,0.7855,True,0.13054
493,1.750293493,0.481761,2.588175e-02,38.7500,3.7017,0.7082,True,0.08479
494,1.752855897,0.482113,2.743713e-02,41.0787,2.5759,0.8718,True,0.11964
495,1.766502380,0.483987,2.864231e-02,42.8831,3.9623,0.6139,False,0.14647
496,1.767366886,0.484105,3.910202e-02,58.5433,4.8249,0.6523,False,0.16441
497,1.775803804,0.485259,2.963525e-02,44.3697,3.5153,0.6795,False,0.11896
498,1.777590752,0.485503,1.331762e-02,19.9391,2.9369,0.8417,True,0.31151
499,1.785499930,0.486582,5.908218e-03,8.8457,1.7343,0.9351,True,0.06790
500,1.827587485,0.492283,4.163179e-03,6.2331,1.4673,0.9741,True,0.29535
501,2.022493362,0.517869,3.859572e-02,57.7853,2.2976,0.9459,True,0.09077
502,2.056980610,0.522265,1.081908e-01,161.9826,4.1379,0.9555,True,0.06321
503,2.075735569,0.524641,1.324044e-01,198.2351,3.4145,0.9622,True,0.06774
504,2.100549698,0.527767,1.125098e-01,168.4491,3.5016,0.8822,True,0.06709
505,2.112506151,0.529267,1.979543e-01,296.3761,12.7005,0.8949,False,0.09539
506,2.129199028,0.531354,2.100180e-01,314.4376,4.7195,0.9324,False,0.06541
507,2.136148930,0.532221,2.222728e-01,332.7855,4.7263,0.9595,False,0.08866
508,2.148496628,0.533757,2.591008e-01,387.9242,5.9168,0.9829,False,0.06891
509,2.153472424,0.534375,1.825249e-01,273.2751,7.5409,0.8084,False,0.07580
510,2.158264875,0.534969,2.008745e-01,300.7481,7.3031,0.7291,False,0.05983
511,2.163187265,0.535579,2.112544e-01,316.2889,5.6100,0.8282,False,0.07595
512,2.172636509,0.536747,1.557379e-01,233.1698,5.4347,0.8991,False,0.06063
513,2.194362879,0.539424,2.859822e-01,428.1708,12.2605,0.5036,False,0.08682
514,2.198114395,0.539885,2.231230e-01,334.0584,5.3628,0.9032,False,0.07951
515,2.199843884,0.540097,1.868543e-01,279.7571,5.0592,0.9105,False,0.06886
516,2.205610991,0.540805,2.408112e-01,360.5411,15.7539,0.3390,False,0.09034
517,2.208552837,0.541165,2.188618e-01,327.6786,8.3920,0.6671,False,0.08931
518,2.210964918,0.541461,2.840295e-01,425.2472,16.1790,0.4500,False,0.10397
519,2.219633579,0.542521,1.763252e-01,263.9931,3.7014,0.9273,True,0.07360
520,2.222798824,0.542908,2.634983e-01,394.5081,4.7913,0.9509,False,0.05457
521,2.227347374,0.543463,2.417141e-01,361.8928,7.3698,0.8765,False,0.05800
522,2.231277943,0.543942,2.258344e-01,338.1178,4.8480,0.9310,False,0.09019
523,2.235076666,0.544405,3.080461e-01,461.2048,12.1157,0.6291,False,0.08416
524,2.242944479,0.545363,2.859024e-01,428.0514,13.9123,0.8245,False,0.08846
525,2.247948170,0.545971,3.159636e-01,473.0588,,0.0019,False,0.06128
526,2.253405333,0.546633,2.316661e-01,346.8491,5.7682,0.9379,False,0.07277
527,2.254041672,0.546710,2.664791e-01,398.9708,5.9613,0.8252,False,0.08441
528,2.264399529,0.547965,2.812137e-01,421.0315,8.3662,0.9393,False,0.06732
529,2.269956112,0.548637,3.522643e-01,527.4081,205.1347,0.0207,False,0.08089
530,2.273201704,0.549029,2.838560e-01,424.9874,10.1068,0.8086,False,0.07524
531,2.284736156,0.550420,2.583890e-01,386.8584,4.9689,0.7994,False,0.07328
532,2.289438009,0.550986,2.821614e-01,422.4504,5.7372,0.9217,False,0.06430
533,2.292357206,0.551337,2.409408e-01,360.7351,5.2118,0.9871,False,0.07982
534,2.296181679,0.551797,2.678334e-01,400.9986,6.8516,0.8231,False,0.09989
535,2.299718857,0.552222,2.893740e-01,433.2490,6.8129,0.9421,False,0.08422
536,2.304037094,0.552740,3.143723e-01,470.6763,45.4111,0.1322,False,0.07100
537,2.307036400,0.553100,2.874262e-01,430.3328,12.1048,0.6246,False,0.06767
538,2.308374882,0.553260,2.737946e-01,409.9237,4.7908,0.8817,False,0.08859
539,2.313690186,0.553897,2.911899e-01,435.9678,8.9716,0.6275,False,0.08460
540,2.320261478,0.554683,3.380924e-01,506.1899,11.0255,0.6737,False,0.07406
541,2.323819399,0.555108,3.008722e-01,450.4640,7.1431,0.8744,False,0.07586
542,2.326961279,0.555483,2.848899e-01,426.5354,7.8640,0.7252,False,0.07059
543,2.332651615,0.556162,2.827628e-01,423.3507,7.8232,0.9071,False,0.09925
544,2.336346626,0.556602,3.378334e-01,505.8021,10.0431,0.7174,False,0.08074
545,2.340389729,0.557083,3.044059e-01,455.7546,6.9014,0.9445,False,0.07701
546,2.344956875,0.557627,2.946030e-01,441.0779,6.4162,0.9140,False,0.08648
