mpb_band,lambda_um-2,nu_a2.288,pr_fraction,pr_volume_um3,xi_um,r2,resolved,shell2_energy_frac
398,1.507072687,0.447037,1.217336e-01,182.2588,10.8087,0.4673,False,0.08113
399,1.510255098,0.447509,1.281687e-01,191.8933,9.5034,0.5554,False,0.07546
400,1.513984203,0.448061,1.186359e-01,177.6209,9.2546,0.6823,False,0.07255
401,1.517473340,0.448577,1.331318e-01,199.3242,12.0690,0.4244,False,0.09707
402,1.518466115,0.448723,1.232912e-01,184.5908,8.0107,0.4326,False,0.08035
403,1.518986106,0.448800,1.123976e-01,168.2810,6.0315,0.7005,False,0.09210
404,1.520886898,0.449081,1.404927e-01,210.3449,15.9358,0.3418,False,0.08202
405,1.523627400,0.449485,1.209872e-01,181.1414,6.2397,0.6512,False,0.08098
406,1.525957584,0.449829,1.322541e-01,198.0100,16.1627,0.2155,False,0.08650
407,1.528263807,0.450169,1.069651e-01,160.1475,6.0980,0.5433,False,0.08916
408,1.529128790,0.450296,1.240762e-01,185.7662,6.8580,0.7406,False,0.09852
409,1.530571103,0.450508,1.334380e-01,199.7826,12.9392,0.4775,False,0.08800
410,1.535863161,0.451287,1.236201e-01,185.0832,7.7782,0.5672,False,0.09491
411,1.537631512,0.451546,1.330898e-01,199.2613,10.6103,0.4985,False,0.09328
412,1.539312720,0.451793,1.324029e-01,198.2328,15.1842,0.1877,False,0.07672
413,1.542975187,0.452330,1.136923e-01,170.2194,9.0508,0.5048,False,0.07276
414,1.544833541,0.452603,1.226448e-01,183.6230,7.3607,0.6767,False,0.07703
415,1.547170401,0.452945,1.325017e-01,198.3807,8.6600,0.7882,False,0.09484
416,1.548083067,0.453078,1.246064e-01,186.5599,9.3737,0.6993,False,0.08849
417,1.550345898,0.453409,1.299162e-01,194.5097,8.3203,0.5353,False,0.08655
418,1.551284313,0.453547,1.084687e-01,162.3986,6.3903,0.8294,False,0.10053
419,1.555964231,0.454230,1.234831e-01,184.8781,7.5756,0.6985,False,0.08709
420,1.557053566,0.454389,1.153081e-01,172.6385,5.5786,0.7604,False,0.10542
421,1.561631918,0.455057,1.269133e-01,190.0138,9.6880,0.6188,False,0.09388
422,1.563512683,0.455331,1.144450e-01,171.3464,6.5259,0.7677,False,0.07656
423,1.565939665,0.455684,1.206597e-01,180.6510,7.7438,0.7651,False,0.09140
424,1.567619562,0.455928,1.096975e-01,164.2384,5.6678,0.6773,False,0.08672
425,1.568750858,0.456093,1.288671e-01,192.9391,7.9934,0.7823,False,0.08584
426,1.570054770,0.456282,1.187400e-01,177.7768,11.9362,0.4398,False,0.10056
427,1.570674300,0.456372,1.235356e-01,184.9568,8.9447,0.6089,False,0.08170
428,1.575339794,0.457050,1.170224e-01,175.2052,11.4489,0.2654,False,0.10202
429,1.577797532,0.457406,1.235751e-01,185.0159,7.7432,0.6899,False,0.09435
430,1.579393148,0.457637,1.210068e-01,181.1706,6.3670,0.6991,False,0.12858
431,1.581957221,0.458008,1.160895e-01,173.8085,6.4632,0.7289,False,0.11212
432,1.584469557,0.458372,1.015880e-01,152.0969,4.6121,0.8249,True,0.08950
433,1.586140871,0.458614,1.215101e-01,181.9242,6.3204,0.5271,False,0.09649
434,1.587507844,0.458811,9.579110e-02,143.4179,4.2558,0.8785,True,0.10245
435,1.594803810,0.459864,1.242746e-01,186.0631,9.4397,0.6517,False,0.09320
436,1.595946550,0.460029,1.073211e-01,160.6804,9.0638,0.3164,False,0.09776
437,1.596810102,0.460154,1.297208e-01,194.2172,14.2486,0.3389,False,0.07880
438,1.599728823,0.460574,1.153985e-01,172.7739,8.8043,0.4823,False,0.09924
439,1.602680922,0.460999,1.058483e-01,158.4755,7.5946,0.7269,False,0.08404
440,1.605418444,0.461392,1.184921e-01,177.4057,6.8218,0.7887,False,0.09868
441,1.607506156,0.461692,1.096425e-01,164.1561,5.1435,0.7927,True,0.12502
442,1.608374834,0.461817,1.254713e-01,187.8549,23.1061,0.2155,False,0.09304
443,1.610673070,0.462147,1.112594e-01,166.5770,6.6256,0.6714,False,0.09242
444,1.612879276,0.462463,9.915617e-02,148.4560,8.1408,0.6140,False,0.10273
445,1.617402554,0.463111,1.160542e-01,173.7557,10.1759,0.4221,False,0.08640
446,1.618915915,0.463328,1.168127e-01,174.8912,10.2581,0.4452,False,0.10159
447,1.622481108,0.463838,9.820102e-02,147.0260,7.7548,0.7635,False,0.11139
448,1.623119473,0.463929,8.037728e-02,120.3404,4.5632,0.6988,False,0.10424
449,1.624786854,0.464167,1.024494e-01,153.3866,7.0434,0.7591,False,0.10186
450,1.629651427,0.464861,8.815254e-02,131.9814,4.7948,0.7424,True,0.07849
451,1.631297112,0.465096,1.026277e-01,153.6536,8.3872,0.4255,False,0.09354
452,1.635140538,0.465644,1.017573e-01,152.3504,8.0262,0.6215,False,0.10340
453,1.635768294,0.465733,9.465666e-02,141.7194,5.8420,0.8481,False,0.08297
454,1.637806535,0.466023,1.154864e-01,172.9055,12.6255,0.4278,False,0.09695
455,1.644296288,0.466945,1.053280e-01,157.6964,9.8722,0.5450,False,0.10912
456,1.645144701,0.467066,1.136502e-01,170.1563,9.9872,0.5620,False,0.07720
457,1.647396088,0.467385,1.148381e-01,171.9348,8.5007,0.4501,False,0.12792
458,1.653363705,0.468231,1.038109e-01,155.4250,5.8634,0.8747,False,0.07625
459,1.657738209,0.468850,9.558907e-02,143.1154,6.2289,0.3569,False,0.09723
460,1.659174323,0.469053,1.021160e-01,152.8874,5.6429,0.7916,True,0.09669
461,1.662990093,0.469592,9.362895e-02,140.1807,7.3076,0.8868,False,0.09994
462,1.665812612,0.469991,1.067768e-01,159.8656,7.9914,0.7167,False,0.11798
463,1.668166041,0.470323,9.426780e-02,141.1372,5.3558,0.9258,False,0.09002
464,1.670235276,0.470614,9.095329e-02,136.1747,5.4005,0.7498,True,0.09738
465,1.674044132,0.471150,9.131098e-02,136.7102,8.6918,0.5195,False,0.08618
466,1.675940752,0.471417,9.879478e-02,147.9150,6.5048,0.8080,False,0.11058
467,1.679535866,0.471923,8.827721e-02,132.1681,7.4445,0.4812,False,0.09875
468,1.685592532,0.472773,8.927541e-02,133.6626,7.7846,0.3893,False,0.07601
469,1.688275576,0.473149,7.047076e-02,105.5084,6.8135,0.6565,False,0.10711
470,1.691868424,0.473652,5.670839e-02,84.9035,3.7695,0.7701,True,0.08803
471,1.694070816,0.473960,8.032576e-02,120.2632,8.5973,0.3517,False,0.07938
472,1.697104216,0.474384,7.090807e-02,106.1631,7.4129,0.5862,False,0.09139
473,1.701739073,0.475032,8.501591e-02,127.2853,4.5143,0.8541,True,0.10572
474,1.704795361,0.475458,7.549158e-02,113.0255,8.1046,0.5228,False,0.12803
475,1.708237767,0.475938,6.536646e-02,97.8663,7.7250,0.6070,False,0.10340
476,1.711290836,0.476363,8.232778e-02,123.2607,8.8265,0.3833,False,0.12537
477,1.716184497,0.477044,4.967637e-02,74.3752,3.0989,0.8925,True,0.08192
478,1.716932178,0.477148,7.480451e-02,111.9969,4.3084,0.8532,True,0.09630
479,1.726233482,0.478438,5.773006e-02,86.4331,4.2969,0.7596,True,0.11190
480,1.730528712,0.479033,6.228546e-02,93.2534,4.1138,0.7769,True,0.11781
481,1.734854817,0.479632,8.157986e-02,122.1409,5.6788,0.6004,False,0.09489
482,1.741377234,0.480532,5.519320e-02,82.6349,3.7177,0.7000,False,0.08787
483,1.742007256,0.480619,3.396063e-02,50.8457,2.6886,0.7882,True,0.15394
484,1.747993708,0.481444,3.881641e-02,58.1157,2.8161,0.8184,True,0.11440
485,1.754671574,0.482363,5.673127e-02,84.9377,4.1357,0.7098,True,0.09449
486,1.760795236,0.483204,5.126419e-02,76.7524,3.2608,0.7771,True,0.06161
487,1.766014934,0.483920,4.444971e-02,66.5498,3.8505,0.6763,False,0.06303
488,1.768027067,0.484195,5.838142e-02,87.4083,5.1250,0.5626,False,0.07286
489,1.774894714,0.485135,5.203734e-02,77.9100,3.3702,0.9151,True,0.11044
490,1.775953174,0.485279,5.685619e-02,85.1247,3.6812,0.7975,True,0.11318
491,1.778420210,0.485616,3.925689e-02,58.7752,3.7096,0.6709,False,0.06462
492,1.784974098,0.486510,3.496882e-02,52.3551,4.2518,0.7498,True,0.13538
493,1.793626308,0.487688,3.141147e-02,47.0291,2.7982,0.9479,True,0.09245
494,1.795890331,0.487996,2.308991e-02,34.5701,2.5839,0.9305,True,0.07199
495,1.801773071,0.488794,3.345246e-02,50.0848,3.0689,0.7531,True,0.13559
496,1.806839824,0.489481,1.536477e-02,23.0040,2.1775,0.8969,True,0.05677
497,1.819922686,0.491250,6.055480e-02,90.6623,6.4337,0.4986,False,0.11533
498,1.827873945,0.492322,4.478793e-02,67.0562,4.9203,0.7297,True,0.13679
499,1.840645790,0.494039,8.558045e-03,12.8131,2.0472,0.9192,True,0.35914
500,1.882956266,0.499685,8.126663e-03,12.1672,1.8222,0.9726,True,0.24542
501,1.962766647,0.510165,7.821984e-02,117.1103,2.9207,0.9859,True,0.05771
502,1.986565828,0.513248,7.190165e-02,107.6507,2.3563,0.9871,True,0.10114
503,2.011789799,0.516497,1.211194e-01,181.3393,3.4950,0.9857,True,0.07192
504,2.021064281,0.517686,1.728378e-01,258.7717,4.2928,0.9712,False,0.07414
505,2.040040493,0.520110,1.643548e-01,246.0710,5.5316,0.7904,False,0.07351
